index,y_hat,labels,y_hat_1,labels_1,y_hat_2,labels_2,y_hat_3,labels_3,y,anomalies,y_hat_6
2022-12-04 02:00:00,14938.602178343896,0,17244.378033478002,0,17244.378033478002,0,17244.378033478002,0,16064.638255946376,0,17244.378033478002
2022-12-04 03:00:00,15014.593006312574,0,17320.36886144668,0,17320.36886144668,0,17320.36886144668,0,16140.629083915055,0,17320.36886144668
2022-12-04 04:00:00,14936.35859314445,0,17242.134448278557,0,17242.134448278557,0,17242.134448278557,0,16062.394670746931,0,17242.134448278557
2022-12-04 05:00:00,14732.91987836631,0,17038.695733500415,0,17038.695733500415,0,17038.695733500415,0,15858.955955968791,0,17038.695733500415
2022-12-04 06:00:00,14009.108456712955,0,16314.884311847061,0,16314.884311847061,0,16314.884311847061,0,15135.144534315436,0,16314.884311847061
2022-12-04 07:00:00,12715.054433170708,0,15020.830288304815,0,15020.830288304815,0,15020.830288304815,0,13841.090510773189,0,15020.830288304815
2022-12-04 08:00:00,12512.259157708722,0,14818.035012842829,0,14818.035012842829,0,14818.035012842829,0,13638.295235311203,0,14818.035012842829
2022-12-04 09:00:00,12753.187011844939,0,15058.962866979045,0,15058.962866979045,0,15058.962866979045,0,13879.22308944742,0,15058.962866979045
2022-12-04 10:00:00,13146.829026157164,0,15452.60488129127,0,15452.60488129127,0,15452.60488129127,0,14272.865103759645,0,15452.60488129127
2022-12-04 11:00:00,13614.74099524086,0,15920.516850374966,0,15920.516850374966,0,15920.516850374966,0,14740.77707284334,0,15920.516850374966
2022-12-04 12:00:00,14282.473442355304,0,16588.24929748941,0,16588.24929748941,0,16588.24929748941,0,15408.509519957785,0,16588.24929748941
2022-12-04 13:00:00,15190.488612662937,0,17496.264467797042,0,17496.264467797042,0,17496.264467797042,0,16316.524690265418,0,17496.264467797042
2022-12-04 14:00:00,16009.094583537486,0,18314.87043867159,0,18314.87043867159,0,18314.87043867159,0,17135.130661139967,0,18314.87043867159
2022-12-04 15:00:00,16737.86625765956,0,19043.642112793666,0,19043.642112793666,0,19043.642112793666,0,17863.90233526204,0,19043.642112793666
2022-12-04 16:00:00,17233.21798623801,0,19538.993841372117,0,19538.993841372117,0,19538.993841372117,0,18359.25406384049,0,19538.993841372117
2022-12-04 17:00:00,17432.668239310482,0,19738.44409444459,0,19738.44409444459,0,19738.44409444459,0,18558.70431691296,0,19738.44409444459
2022-12-04 18:00:00,17235.93450634494,0,19541.710361479047,0,19541.710361479047,0,19541.710361479047,0,18361.97058394742,0,19541.710361479047
2022-12-04 19:00:00,16012.902746733527,0,18318.678601867632,0,18318.678601867632,0,18318.678601867632,0,17138.938824336008,0,18318.678601867632
2022-12-04 20:00:00,14637.33828531572,0,16943.114140449827,0,16943.114140449827,0,16943.114140449827,0,15763.3743629182,0,16943.114140449827
2022-12-04 21:00:00,14674.09182064132,0,16979.867675775426,0,16979.867675775426,0,16979.867675775426,0,15800.127898243802,0,16979.867675775426
2022-12-04 22:00:00,15524.918125978018,0,17830.693981112123,0,17830.693981112123,0,17830.693981112123,0,16650.9542035805,0,17830.693981112123
2022-12-04 23:00:00,16195.697381030366,0,18501.47323616447,0,18501.47323616447,0,18501.47323616447,0,17321.733458632847,0,18501.47323616447
2022-12-05 00:00:00,19812.3016659615,0,22118.077521095605,0,22118.077521095605,0,22118.077521095605,0,20938.337743563978,0,22118.077521095605
2022-12-05 01:00:00,16989.90435703037,0,19295.680212164476,0,19295.680212164476,0,19295.680212164476,0,18115.94043463285,0,19295.680212164476
2022-12-05 02:00:00,17295.834966475675,0,19601.610821609782,0,19601.610821609782,0,19601.610821609782,0,18421.871044078154,0,19601.610821609782
2022-12-05 03:00:00,17385.206306327866,0,19690.982161461972,0,19690.982161461972,0,19690.982161461972,0,18511.242383930345,0,19690.982161461972
2022-12-05 04:00:00,17334.654758191038,0,19640.430613325145,0,19640.430613325145,0,19640.430613325145,0,18460.690835793517,0,19640.430613325145
2022-12-05 05:00:00,17191.534610116705,0,19497.310465250812,0,19497.310465250812,0,19497.310465250812,0,18317.570687719184,0,19497.310465250812
2022-12-05 06:00:00,16656.72891987646,0,18962.504775010566,0,18962.504775010566,0,18962.504775010566,0,17782.76499747894,0,18962.504775010566
2022-12-05 07:00:00,16439.50913802587,0,18745.284993159978,0,18745.284993159978,0,18745.284993159978,0,17565.54521562835,0,18745.284993159978
2022-12-05 08:00:00,17140.63488512288,0,19446.410740256986,0,19446.410740256986,0,19446.410740256986,0,18266.67096272536,0,19446.410740256986
2022-12-05 09:00:00,18214.152195278162,0,20519.92805041227,0,20519.92805041227,0,20519.92805041227,0,19340.18827288064,0,20519.92805041227
2022-12-05 10:00:00,18770.44753944803,0,21076.223394582135,0,21076.223394582135,0,21076.223394582135,0,19896.483617050508,0,21076.223394582135
2022-12-05 11:00:00,19352.20398176521,0,21657.979836899318,0,21657.979836899318,0,21657.979836899318,0,20478.24005936769,0,21657.979836899318
2022-12-05 12:00:00,20119.56524641452,0,22425.341101548627,0,22425.341101548627,0,22425.341101548627,0,21245.601324017,0,22425.341101548627
2022-12-05 13:00:00,21140.773662985568,0,23446.549518119675,0,23446.549518119675,0,23446.549518119675,0,22266.809740588047,0,23446.549518119675
2022-12-05 14:00:00,22287.788896407423,0,24593.56475154153,0,24593.56475154153,0,24593.56475154153,0,23413.8249740099,0,24593.56475154153
2022-12-05 15:00:00,23068.132822781932,0,25373.90867791604,0,25373.90867791604,0,25373.90867791604,0,24194.16890038441,0,25373.90867791604
2022-12-05 16:00:00,23431.023833159143,0,25736.79968829325,0,25736.79968829325,0,25736.79968829325,0,24557.05991076162,0,25736.79968829325
2022-12-05 17:00:00,23272.615702831907,0,25578.391557966013,0,25578.391557966013,0,25578.391557966013,0,24398.651780434386,0,25578.391557966013
2022-12-05 18:00:00,22476.2732275722,0,24782.049082706308,0,24782.049082706308,0,24782.049082706308,0,23602.30930517468,0,24782.049082706308
2022-12-05 19:00:00,20584.19294566246,0,22889.968800796567,0,22889.968800796567,0,22889.968800796567,0,21710.22902326494,0,22889.968800796567
2022-12-05 20:00:00,18546.447366882436,0,20852.223222016542,0,20852.223222016542,0,20852.223222016542,0,19672.483444484915,0,20852.223222016542
2022-12-05 21:00:00,18143.609444716825,0,20449.385299850932,0,20449.385299850932,0,20449.385299850932,0,19269.645522319304,0,20449.385299850932
2022-12-05 22:00:00,18768.8926244358,0,21074.668479569908,0,21074.668479569908,0,21074.668479569908,0,19894.92870203828,0,21074.668479569908
2022-12-05 23:00:00,19368.418741092282,0,21674.19459622639,0,21674.19459622639,0,21674.19459622639,0,20494.45481869476,0,21674.19459622639
2022-12-06 00:00:00,20598.447315946556,0,22904.223171080663,0,22904.223171080663,0,22904.223171080663,0,21724.483393549035,0,22904.223171080663
2022-12-06 01:00:00,20098.35963216501,0,22404.135487299118,0,22404.135487299118,0,22404.135487299118,0,21224.39570976749,0,22404.135487299118
2022-12-06 02:00:00,20277.55046769056,0,22583.326322824665,0,22583.326322824665,0,22583.326322824665,0,21403.586545293037,0,22583.326322824665
2022-12-06 03:00:00,20182.96412739361,0,22488.739982527717,0,22488.739982527717,0,22488.739982527717,0,21309.00020499609,0,22488.739982527717
2022-12-06 04:00:00,20065.99054000851,0,22371.76639514262,0,22371.76639514262,0,22371.76639514262,0,21192.02661761099,0,22371.76639514262
2022-12-06 05:00:00,19658.60946720142,0,21964.385322335525,0,21964.385322335525,0,21964.385322335525,0,20784.645544803898,0,21964.385322335525
2022-12-06 06:00:00,18873.996976549923,0,21179.77283168403,0,21179.77283168403,0,21179.77283168403,0,20000.0330541524,0,21179.77283168403
2022-12-06 07:00:00,18062.94452471244,0,20368.720379846545,0,20368.720379846545,0,20368.720379846545,0,19188.980602314918,0,20368.720379846545
